ID;Outline_Number;Name;Duration;Start_Date;Finish_Date;AsmTV;BigScreen;Major;Public;SumTask;Class;URL;Title_EN;Title_FI;Location_EN;Location_FI;Location_URL;Outline_Level
51;4.5;Social;2820 mins;Fri 7.8.10 14:00;Sun 9.8.10 13:00;No;No;No;No;Yes;;;;;;;;2
52;4.5.1;GH Guitar Qualifying 1;4 hrs;Fri 7.8.10 14:00;Fri 7.8.10 18:00;No;No;No;Yes;No;Compo;/summer09/compos/sponsored-unofficial/gaming/#guitar_hero;Guitar Hero: Guitar tournament - qualifying round #1;Guitar Hero: kitaraturnaus - karsinnat #1;Lapin kulta terrace;Lapin kullan terassi;/summer09/at-party/maps/party-place#first;3
53;4.5.2;GH Guitar Qualifying 2;4 hrs;Fri 7.8.10 22:00;Sat 8.8.10 2:00;No;No;No;Yes;No;Compo;/summer09/compos/sponsored-unofficial/gaming/#guitar_hero;Guitar Hero: Guitar tournament - qualifying round #2;Guitar Hero: kitaraturnaus - karsinnat #2;Lapin kulta terrace;Lapin kullan terassi;/summer09/at-party/maps/party-place#first;3
54;4.5.3;GH Guitar semi-final;3 hrs;Sat 8.8.10 18:00;Sat 8.8.10 21:00;No;No;No;Yes;No;Compo;/summer09/compos/sponsored-unofficial/gaming/#guitar_hero;Guitar Hero: Guitar tournament - semifinal;Guitar Hero: kitaraturnaus - semifinaali;Lapin kulta terrace;Lapin kullan terassi;/summer09/at-party/maps/party-place#first;3
55;4.5.4;GH Guitar final;1 hr;Sun 9.8.10 11:00;Sun 9.8.10 12:00;Yes;Yes;Yes;Yes;No;Compo_show;/summer09/compos/sponsored-unofficial/gaming/#guitar_hero;Guitar Hero: Guitar Tournament final;Guitar Hero: kitaraturnauksen finaali;Stage;Lava;/summer09/at-party/maps/party-place#ground;3
56;4.5.5;GH Band Qualifying;2 hrs;Sat 8.8.10 22:00;Sun 9.8.10 0:00;No;No;No;Yes;No;Compo;/summer09/compos/sponsored-unofficial/gaming/#guitar_hero;Guitar Hero: Band tournament - qualifying round #1;Guitar Hero: bänditurnaus - karsinnat #1;Lapin kulta terrace;Lapin kullan terassi;/summer09/at-party/maps/party-place#first;3
57;4.5.6;GH Band Final;1 hr;Sun 9.8.10 10:00;Sun 9.8.10 11:00;Yes;Yes;Yes;Yes;No;Compo_show;/summer09/compos/sponsored-unofficial/gaming/#guitar_hero;Guitar Hero: Band Tournament final;Guitar Hero: bänditurnauksen finaali;Stage;Lava;/summer09/at-party/maps/party-place#ground;3
58;4.5.7;ITG Dance Tournament;3 hrs;Fri 7.8.10 20:00;Fri 7.8.10 23:00;No;No;No;Yes;No;Compo;/summer09/compos/gaming-sports/individual/#dance;ASUS Dance tournament;ASUS Tanssipeliturnaus;Lapin kulta terrace;Lapin kullan terassi;/summer09/at-party/maps/party-place#first;3
59;4.5.8;ITG Dance Finals;1 hr;Sun 9.8.10 12:00;Sun 9.8.10 13:00;Yes;Yes;Yes;Yes;No;Compo_show;/summer09/compos/gaming-sports/individual/#dance;ASUS Dance tournament finals;ASUS Tanssipelifinaalit;Stage;Lava;/summer09/at-party/maps/party-place#ground;3
60;4.5.9;Poker tournament;3 hrs;Fri 7.8.10 22:00;Sat 8.8.10 1:00;No;No;Yes;Yes;No;Compo;/summer09/compos/sponsored-unofficial/poker;Poker tournament, qualification;Pokeriturnaus, karsinta;3rd Floor;3. kerros;/summer09/at-party/maps/party-place#third;3
61;4.5.10;Poker final;2 hrs;Sat 8.8.10 12:00;Sat 8.8.10 14:00;No;No;Yes;Yes;No;Compo;/summer09/compos/sponsored-unofficial/poker;Poker tournament finals;Pokeriturnaus: finaali;3rd Floor;3. kerros;/summer09/at-party/maps/party-place#third;3
62;4.5.11;Bluetooth treasure hunt - setup;2 hrs;Sat 8.8.10 10:00;Sat 8.8.10 12:00;No;No;No;No;No;Compo;/summer09/compos/gaming-sports/;Bluetooth treasure hunt setup;Bluetooth-aarteenmetsästyksen järjestelyt;Hartwall Areena;Hartwall Areena;/summer09/at-party/maps/party-place;3
63;4.5.12;Bluetooth treasure hunt;3 hrs;Sat 8.8.10 12:00;Sat 8.8.10 15:00;No;No;Yes;Yes;No;Compo;/summer09/compos/gaming-sports/;Bluetooth treasure hunt;Bluetooth-aarteenmetsästys;Hartwall Areena;Hartwall Areena;/summer09/at-party/maps/party-place;3
64;4.6;GameDev compo;525 mins;Thu 6.8.10 15:30;Fri 7.8.10 0:15;No;No;No;No;Yes;;;;;;;;2
65;4.6.1;Recording;3 hrs;Thu 6.8.10 15:30;Thu 6.8.10 18:30;No;No;No;Yes;No;Compo;/summer09/compos/realtime/gamedev;GameDev compo recording - come to Infodesk;GameDev-kompon äänitys - tule Infodeskille;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
66;4.6.2;Vodding;3 hrs;Thu 6.8.10 19:00;Thu 6.8.10 22:00;No;No;No;No;No;Compo;/summer09/compos/realtime/gamedev;GameDev compo VODding;GameDev compo VODding;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
67;4.6.3;Showing;75 mins;Thu 6.8.10 23:00;Fri 7.8.10 0:15;No;Yes;Yes;Yes;No;Compo_showing;/summer09/compos/realtime/gamedev;GameDev compo;GameDev-kompo;Big screen;Big screen;/summer09/at-party/maps/party-place#first;3
68;4.7;Fast music compo;1425 mins;Thu 6.8.10 19:30;Fri 7.8.10 19:15;No;No;No;No;Yes;;;;;;;;2
69;4.7.1;Chords/Sampleset released;0 mins;Thu 6.8.10 19:30;Thu 6.8.10 19:30;No;Yes;No;Yes;No;Compo;/summer09/compos/sound-vision/fast#music;Fast music - sample set released;Fast musiikki - samplepaketti julkaistaan;Website;Website;http://www.assembly.org;3
70;4.7.2;Deadline;0 mins;Thu 6.8.10 21:00;Thu 6.8.10 21:00;No;Yes;No;Yes;No;Compo_deadline;/summer09/compos/sound-vision/fast#music;Fast music - deadline;Fast music - takaraja;PMS;PMS;http://pms.assembly.org;3
71;4.7.3;Jury;2 hrs;Thu 6.8.10 22:30;Fri 7.8.10 0:30;No;No;No;Yes;No;Compo_jury;/summer09/compos/sound-vision/fast#music;Fast music - jury - come to Infodesk;Fast musiikki - jury - tule Infodeskille;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
72;4.7.4;Feedback;15 mins;Fri 7.8.10 1:15;Fri 7.8.10 1:30;No;No;No;Yes;No;Compo_feedback;/summer09/compos/sound-vision/fast#music;Fast music - feedback at Infodesk;Fast musiikki - palautetilaisuus Infodeskillä;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
73;4.7.5;Showing;45 mins;Fri 7.8.10 18:30;Fri 7.8.10 19:15;No;No;Yes;Yes;No;Compo_show;/summer09/compos/sound-vision/fast#music;Fast music compo;Fast musiikki-kompo;Big screen;Big screen;/summer09/at-party/maps/party-place#first;3
74;4.8;Fast graphics compo;1350 mins;Thu 6.8.10 21:15;Fri 7.8.10 19:45;No;No;No;No;Yes;;;;;;;;2
75;4.8.1;Objective description released;0 mins;Thu 6.8.10 21:15;Thu 6.8.10 21:15;No;Yes;No;Yes;No;Compo;/summer09/compos/sound-vision/fast#graphics;Fast graphics - objectives released;Fast grafiikka - tehtävänkuvaus julkaistaan;Website;Website;http://www.assembly.org;3
76;4.8.2;Deadline;0 mins;Thu 6.8.10 22:45;Thu 6.8.10 22:45;No;No;No;Yes;No;Compo_deadline;/summer09/compos/sound-vision/fast#graphics;Fast graphics - deadline;Fast graphics - takaraja;PMS;PMS;http://pms.assembly.org;3
77;4.8.3;Jury;1 hr;Thu 6.8.10 23:15;Fri 7.8.10 0:15;No;No;No;Yes;No;Compo_jury;/summer09/compos/sound-vision/fast#graphics;Fast graphics - jury - come to Infodesk;Fast grafiikka - jury - come to Infodesk;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
78;4.8.4;Feedback;30 mins;Fri 7.8.10 0:45;Fri 7.8.10 1:15;No;No;No;Yes;No;Compo_feedback;/summer09/compos/sound-vision/fast#graphics;Fast graphics - feedback at Infodesk;Fast grafiikka - palautetilaisuus Infodeskillä;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
79;4.8.5;Showing;15 mins;Fri 7.8.10 19:30;Fri 7.8.10 19:45;No;No;Yes;Yes;No;Compo_show;/summer09/compos/sound-vision/fast#graphics;Fast graphics compo;Fast grafiikka-kompo;Big screen;Big screen;/summer09/at-party/maps/party-place#first;3
80;4.9;4k intro;526215 mins;Thu 7.8.08 14:00;Sat 8.8.10 0:15;No;No;No;No;Yes;;;;;;;;2
81;4.9.1;Jury;2 hrs;Thu 7.8.08 14:00;Thu 7.8.08 16:00;No;No;No;Yes;No;Compo_jury;/summer09/compos/realtime/demo#64k;4k intro - jury - come to Infodesk;4k intro - jury - tule Infodeskille;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
82;4.9.2;Feedback;15 mins;Thu 7.8.08 17:00;Thu 7.8.08 17:15;No;No;No;Yes;No;Compo_feedback;/summer09/compos/realtime/demo#64k;4k intro - feedback at Infodesk;4k intro - palautetilaisuus Infodeskillä;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
83;4.9.3;Showing;45 mins;Fri 7.8.10 23:30;Sat 8.8.10 0:15;Yes;Yes;Yes;Yes;No;Compo_show;/summer09/compos/realtime/demo#64k;4k intro compo;4k intro-kompo;Big screen;Big screen;/summer09/at-party/maps/party-place#first;3
84;4.10;Oldskool & extreme compos;1650 mins;Thu 6.8.10 22:00;Sat 8.8.10 1:30;No;No;No;No;Yes;;;;;;;;2
85;4.10.1;Gather compo participants & jury;15 mins;Thu 6.8.10 22:00;Thu 6.8.10 22:15;No;No;No;No;No;Compo;/summer09/compos/realtime/oldskool;Gather compo participants & jury;Gather compo participants & jury;Infodesk;Infodesk;/summer09/at-party/maps/party-place#first;3
